Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
88800.000000, 140304.000000, 227106.000000, 314574.000000, 437192.000000, 629550.062500
95760.000000, 151300.734375, 244906.187500, 339229.937500, 471458.312500, 678892.750000
205939.984375, 325385.281250, 526691.562500, 729542.250000, 1013911.187500, 1460016.625000
195600.000000, 309048.000000, 500247.000000, 692913.000000, 963004.000000, 1386710.750000
43480.007812, 68698.367188, 111200.093750, 154027.906250, 214066.546875, 308252.593750
1880.000000, 2970.399902, 4808.100098, 6659.899414, 9255.855469, 13328.307617
2060.000000, 3254.800781, 5268.450195, 7297.548340, 10142.054688, 14604.414062
89259.984375, 141030.734375, 228282.437500, 316203.562500, 439456.750000, 632810.687500
5420.000977, 8563.599609, 13861.650391, 19200.349609, 26684.458984, 38425.226562
187900.015625, 296882.000000, 480554.250000, 665635.750000, 925094.250000, 1332120.125000
103880.000000, 164130.375000, 265673.093750, 367995.000000, 511435.906250, 736459.687500
58460.000000, 92366.796875, 149511.453125, 207094.531250, 287818.187500, 414453.312500
36240.000000, 57259.195312, 92683.796875, 128380.210938, 178421.593750, 256924.312500
51559.996094, 81464.820312, 131864.703125, 182651.250000, 253847.046875, 365535.718750
67059.992188, 105954.804688, 171505.937500, 237560.046875, 330158.437500, 475423.500000
140959.968750, 222716.781250, 360505.187500, 499350.843750, 693993.062500, 999339.500000
12640.000977, 19971.205078, 32326.800781, 44777.191406, 62230.941406, 89611.562500
40720.011719, 64337.601562, 104141.406250, 144250.578125, 200478.125000, 288684.875000
15100.000000, 23858.000000, 38618.250000, 53491.750000, 74342.335938, 107051.859375
186940.031250, 295365.281250, 478099.062500, 662234.937500, 920367.937500, 1325315.500000
99260.007812, 156830.734375, 253857.437500, 351628.687500, 488690.187500, 703705.937500
119900.000000, 189442.000000, 306644.250000, 424745.750000, 590307.687500, 850034.062500
54820.000000, 86615.632812, 140202.156250, 194199.781250, 269896.875000, 388647.750000
1720.000000, 2717.599854, 4398.899902, 6093.101562, 8468.131836, 12193.992188
58700.000000, 92746.000000, 150125.250000, 207944.750000, 288999.687500, 416155.000000
79460.023438, 125546.796875, 203218.937500, 281487.156250, 391208.093750, 563333.125000
38059.984375, 60134.808594, 97338.453125, 134827.500000, 187381.953125, 269827.343750
4359.999023, 6888.800293, 11150.699219, 15445.299805, 21465.718750, 30910.328125
9880.002930, 15610.400391, 25268.101562, 34999.886719, 48642.535156, 70044.437500
91860.000000, 145138.734375, 234931.937500, 325414.125000, 452257.312500, 651243.375000
124300.000000, 196394.000000, 317897.250000, 440332.750000, 611970.125000, 881227.750000
37759.984375, 59660.808594, 96571.203125, 133764.765625, 185904.953125, 267700.437500
64220.000000, 101467.625000, 164242.656250, 227499.296875, 316176.468750, 455289.187500
12280.000977, 19402.408203, 31406.101562, 43501.882812, 60458.531250, 87059.234375
16800.000000, 26544.000000, 42966.000000, 59514.000000, 82712.000000, 119104.000000
181060.031250, 286074.750000, 463060.937500, 641405.062500, 891418.875000, 1283629.375000
12660.000000, 20002.794922, 32377.949219, 44848.058594, 62329.386719, 89753.375000
149659.937500, 236462.796875, 382755.437500, 530170.562500, 736826.250000, 1061018.000000
5460.000000, 8626.795898, 13963.949219, 19342.050781, 26881.394531, 38708.796875
122560.000000, 193644.750000, 313447.187500, 434168.937500, 603404.625000, 868892.000000
739.999939, 1169.200317, 1892.550049, 2621.449951, 3643.266357, 5246.247070
148459.937500, 234566.796875, 379686.437500, 525919.562500, 730918.250000, 1052511.125000
4100.000000, 6478.000000, 10485.750000, 14524.250000, 20185.666016, 29067.044922
151560.000000, 239464.781250, 387614.687500, 536901.437500, 746180.375000, 1074489.125000
