Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3
29,4011486.000000, 11718075.000000, 12099310.000000, 4931135.000000, 5614034.500000, 2813579.750000,0,46,39
30,3209243.250000, 12149169.000000, 14678063.000000, 3774169.250000, 5471755.000000, 2734674.750000,0,51,49
31,3701382.250000, 12576235.000000, 12739498.000000, 2721936.000000, 4776321.000000, 2286328.500000,0,51,53
32,5148223.000000, 12906097.000000, 12706654.000000, 6482025.500000, 6246696.500000, 2452640.000000,0,51,45
33,2782519.250000, 8817693.000000, 10568723.000000, 3315565.000000, 5101933.500000, 2266913.250000,0,56,94
34,4842279.500000, 14620079.000000, 14717759.000000, 5100031.500000, 4626615.500000, 2550012.750000,0,45,46
35,3602145.500000, 9098316.000000, 5647201.500000, 4682793.500000, 4444608.500000, 1871496.125000,0,51,41
36,4388155.500000, 7899735.500000, 6049163.000000, 4750994.500000, 3342236.000000, 1413966.250000,0,14,35
37,2860357.000000, 12691908.000000, 19917868.000000, 6791191.000000, 6960420.000000, 2375315.000000,0,59,94
38,2464667.250000, 7950380.500000, 9726540.000000, 3465257.000000, 3789462.000000, 1140524.500000,0,49,43
39,3466673.000000, 10029182.000000, 11533474.000000, 4597873.500000, 2997909.750000, 1008742.000000,0,53,49
40,2858442.000000, 12291139.000000, 11275721.000000, 4891326.000000, 3298881.500000, 1787110.750000,0,41,47
41,4131978.000000, 12691550.000000, 10129811.000000, 6330306.000000, 7667172.000000, 2051447.500000,0,41,42
42,2589430.000000, 9439670.000000, 10970940.000000, 2659680.000000, 3045417.500000, 1147081.500000,0,52,55
43,3040800.750000, 9120309.000000, 16996512.000000, 5578014.000000, 4008885.750000, 1715289.500000,0,58,55
44,2944267.250000, 6941552.500000, 10738058.000000, 4680460.500000, 3433608.000000, 1816674.375000,0,99,55
45,3269136.250000, 9103568.000000, 12389795.000000, 4788111.500000, 4400278.000000, 956066.812500,0,94,93
46,3862067.000000, 12472248.000000, 10464480.000000, 3679978.000000, 4927508.500000, 2183576.500000,0,57,50
47,2879952.000000, 8910085.000000, 9187778.000000, 4732461.500000, 3960990.750000, 1631899.625000,0,48,93
48,3845458.500000, 12467695.000000, 8776547.000000, 2616575.500000, 3010014.250000, 2023453.625000,0,46,51
49,2317064.000000, 7637264.000000, 8960731.000000, 2966364.500000, 4537431.000000, 1799553.875000,0,47,94
50,3207919.750000, 12471791.000000, 18903216.000000, 4229079.000000, 6037212.500000, 2104220.000000,0,57,94
51,2637150.500000, 10093210.000000, 13071420.000000, 3924292.250000, 3989217.250000, 1470684.125000,0,55,63
52,2508569.250000, 10486642.000000, 8688919.000000, 4364371.500000, 3554274.750000, 968883.062500,0,52,53
53,3397161.250000, 10508215.000000, 12610261.000000, 3113206.750000, 2718010.000000, 1466793.500000,0,49,51
54,2643842.500000, 11887832.000000, 15916869.000000, 3256127.250000, 4847400.000000, 1193483.750000,0,51,58
55,3605857.250000, 11397177.000000, 15605676.000000, 5577310.000000, 4926017.000000, 2372149.750000,0,52,51
56,4814406.000000, 9243480.000000, 6784574.500000, 5392728.500000, 5098320.500000, 954255.937500,0,36,35
57,6181975.000000, 9625512.000000, 7745198.000000, 5860731.000000, 4775483.000000, 1457592.000000,0,36,15
58,5641460.500000, 11455852.000000, 9372692.000000, 5700270.500000, 4706379.500000, 1222707.750000,0,37,43
59,4606101.000000, 13054194.000000, 15805295.000000, 6049724.000000, 6336490.500000, 2238900.000000,0,50,51
60,3532630.000000, 12292220.000000, 14429375.000000, 3833094.250000, 4355291.500000, 2103660.750000,0,55,52
61,3404328.250000, 13607729.000000, 20035882.000000, 4385308.000000, 5027174.000000, 1946516.375000,0,57,54
62,3173577.000000, 13347425.000000, 18491166.000000, 4969932.500000, 4823691.500000, 1421546.000000,0,57,59
63,2872333.250000, 11001199.000000, 15477402.000000, 4852311.500000, 3950565.250000, 1522195.750000,0,92,94
64,2152715.750000, 11463433.000000, 8117898.000000, 3629953.000000, 2873099.250000, 2114543.000000,0,44,45
65,3401251.500000, 11700599.000000, 7467625.500000, 5639085.500000, 3350662.750000, 1747194.500000,0,46,38
66,3108164.000000, 7819204.000000, 4955048.000000, 4963715.500000, 3916224.250000, 1186720.875000,0,36,43
67,2134831.750000, 10792338.000000, 8876755.000000, 5642927.000000, 2843262.000000, 1419549.250000,0,47,46
68,2429519.750000, 10626650.000000, 7972412.500000, 4568007.500000, 2777851.750000, 1066859.250000,0,46,45
69,2491266.000000, 11014661.000000, 10838264.000000, 4157207.250000, 2272153.000000, 1421768.625000,0,41,47
70,2360950.000000, 9598324.000000, 10527198.000000, 4908136.000000, 2327622.000000, 1515223.750000,0,45,44
71,2368228.500000, 7765855.500000, 7329987.500000, 5460914.500000, 2731336.250000, 1840567.375000,0,45,60
