Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
84519.976562, 133541.593750, 216159.906250, 299412.093750, 416119.968750, 599206.312500
133020.000000, 210171.593750, 340198.625000, 471223.343750, 654901.625000, 943048.000000
35460.000000, 56026.808594, 90688.953125, 125617.039062, 174581.406250, 251394.437500
74820.000000, 118215.609375, 191352.156250, 265049.843750, 368363.812500, 530438.250000
38800.015625, 61304.000000, 99231.000000, 137449.000000, 191025.296875, 275073.500000
17120.001953, 27049.595703, 43784.398438, 60647.609375, 84287.562500, 121372.679688
41160.000000, 65032.800781, 105266.703125, 145809.296875, 202644.421875, 291804.812500
31920.000000, 50433.601562, 81635.406250, 113076.601562, 157152.843750, 226297.640625
42660.000000, 67402.796875, 109102.953125, 151123.046875, 210029.453125, 302439.093750
32940.000000, 52045.191406, 84244.046875, 116689.976562, 162174.609375, 233528.859375
49219.996094, 77767.632812, 125880.156250, 174361.781250, 242326.406250, 348946.218750
32400.000000, 51192.000000, 82863.000000, 114777.000000, 159516.000000, 229700.484375
18860.007812, 29798.800781, 48234.453125, 66811.515625, 92854.093750, 133708.484375
111660.000000, 176422.734375, 285570.437500, 395555.687500, 549739.375000, 791616.437500
34540.007812, 54573.191406, 88336.046875, 122357.960938, 170052.109375, 244872.093750
79980.000000, 126368.398438, 204548.843750, 283329.156250, 393768.187500, 567020.187500
10420.002930, 16463.599609, 26649.148438, 36912.851562, 51301.136719, 73872.859375
7980.000000, 12608.400391, 20408.851562, 28269.150391, 39288.210938, 56574.410156
158959.953125, 251156.812500, 406540.187500, 563115.812500, 782613.375000, 1126951.375000
30680.000000, 48474.398438, 78464.101562, 108683.898438, 151047.656250, 217506.609375
44220.000000, 69867.632812, 113092.656250, 156649.343750, 217709.843750, 313498.593750
129000.000000, 203820.000000, 329917.500000, 456982.500000, 635110.000000, 914548.562500
139680.000000, 220694.406250, 357231.625000, 494816.406250, 687691.187500, 990264.687500
1080.000000, 1706.400269, 2762.100098, 3825.899658, 5317.200195, 7656.684082
8880.000000, 14030.400391, 22710.601562, 31457.400391, 43719.199219, 62954.992188
38479.984375, 60798.402344, 98412.593750, 136315.453125, 189449.828125, 272804.968750
23880.000000, 37730.414062, 61073.101562, 84594.898438, 117569.234375, 169297.843750
27020.000000, 42691.593750, 69103.648438, 95718.382812, 133028.453125, 191558.921875
47460.000000, 74986.820312, 121378.953125, 168127.046875, 233661.484375, 336468.812500
34140.000000, 53941.191406, 87313.046875, 120940.968750, 168082.609375, 242036.359375
6180.000000, 9764.397461, 15805.349609, 21892.652344, 30426.193359, 43813.253906
9700.003906, 15326.000000, 24807.750000, 34362.250000, 47756.324219, 68768.375000
9940.002930, 15705.200195, 25421.550781, 35212.449219, 48937.914062, 70469.843750
22059.996094, 34854.816406, 56418.453125, 78147.546875, 108608.726562, 156395.203125
143419.953125, 226603.609375, 366796.625000, 508065.343750, 706104.125000, 1016779.875000
35119.992188, 55489.605469, 89819.406250, 124412.601562, 172907.390625, 248984.125000
231340.000000, 365517.187500, 591652.062500, 819521.812500, 1138963.125000, 1640089.500000
69279.984375, 109462.390625, 177183.593750, 245424.421875, 341088.531250, 491162.156250
32200.000000, 50876.000000, 82351.500000, 114068.500000, 158531.312500, 228282.671875
32640.000000, 51571.187500, 83476.796875, 115627.226562, 160697.593750, 231402.078125
86220.000000, 136227.593750, 220507.656250, 305434.343750, 424489.906250, 611259.250000
80439.976562, 127095.210938, 205725.312500, 284958.625000, 396032.906250, 570281.312500
90440.015625, 142895.265625, 231300.312500, 320383.656250, 445266.250000, 641176.437500
67200.000000, 106176.000000, 171864.000000, 238056.000000, 330848.000000, 476416.000000
