Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3,Label
2879952.0,8910085.0,9187778.0,4732461.5,3960990.75,1631899.625,0,48,93,1
3845458.5,12467695.0,8776547.0,2616575.5,3010014.25,2023453.625,0,46,51,1
2317064.0,7637264.0,8960731.0,2966364.5,4537431.0,1799553.875,0,47,94,1
3207919.75,12471791.0,18903216.0,4229079.0,6037212.5,2104220.0,0,57,94,1
2637150.5,10093210.0,13071420.0,3924292.25,3989217.25,1470684.125,0,55,63,1
2508569.25,10486642.0,8688919.0,4364371.5,3554274.75,968883.0625,0,52,53,1
3397161.25,10508215.0,12610261.0,3113206.75,2718010.0,1466793.5,0,49,51,1
2643842.5,11887832.0,15916869.0,3256127.25,4847400.0,1193483.75,0,51,58,1
3605857.25,11397177.0,15605676.0,5577310.0,4926017.0,2372149.75,0,52,51,1
4814406.0,9243480.0,6784574.5,5392728.5,5098320.5,954255.9375,0,36,35,1
6181975.0,9625512.0,7745198.0,5860731.0,4775483.0,1457592.0,0,36,15,1
5641460.5,11455852.0,9372692.0,5700270.5,4706379.5,1222707.75,0,37,43,1
4606101.0,13054194.0,15805295.0,6049724.0,6336490.5,2238900.0,0,50,51,1
3532630.0,12292220.0,14429375.0,3833094.25,4355291.5,2103660.75,0,55,52,1
3404328.25,13607729.0,20035882.0,4385308.0,5027174.0,1946516.375,0,57,54,1
3173577.0,13347425.0,18491166.0,4969932.5,4823691.5,1421546.0,0,57,59,1
2872333.25,11001199.0,15477402.0,4852311.5,3950565.25,1522195.75,0,92,94,1
2152715.75,11463433.0,8117898.0,3629953.0,2873099.25,2114543.0,0,44,45,1
3401251.5,11700599.0,7467625.5,5639085.5,3350662.75,1747194.5,0,46,38,1
3108164.0,7819204.0,4955048.0,4963715.5,3916224.25,1186720.875,0,36,43,1
2134831.75,10792338.0,8876755.0,5642927.0,2843262.0,1419549.25,0,47,46,1
2429519.75,10626650.0,7972412.5,4568007.5,2777851.75,1066859.25,0,46,45,1
2491266.0,11014661.0,10838264.0,4157207.25,2272153.0,1421768.625,0,41,47,1
2360950.0,9598324.0,10527198.0,4908136.0,2327622.0,1515223.75,0,45,44,1
2368228.5,7765855.5,7329987.5,5460914.5,2731336.25,1840567.375,0,45,60,1
2710113.5,10018395.0,9791202.0,5115267.0,2844959.75,1313432.5,0,45,46,1
2835751.0,6855927.0,7883972.5,6259653.5,3156323.25,1134555.875,0,112,50,1
1740884.25,8694429.0,7144884.5,2129512.0,1755205.75,1458396.25,0,54,51,1
2191757.25,10387949.0,6047080.0,3582181.0,2692255.0,1769171.5,0,47,48,1
2181621.75,8224713.0,4461214.0,2566575.25,1439734.75,822501.375,0,47,46,1
1579451.625,11508940.0,8742458.0,2855035.75,2208252.25,1937668.5,0,47,48,1
2015359.125,8156113.5,6204616.5,2148022.5,1466046.375,1195012.25,0,51,52,1
3101699.25,12522145.0,10238584.0,3957018.75,3170504.5,1222490.625,0,43,51,1
2093204.125,12459590.0,8088841.5,4002879.0,2663981.0,1496019.625,0,46,45,1
1672195.125,11114915.0,8985531.0,3897208.5,2188286.25,1692670.625,0,48,47,1
111667.03125,106471.679688,131211.515625,97624.234375,79905.359375,69333.09375,0,1,2,0
5612373.0,1591342.875,725636.75,4802025.0,3840023.5,434311.53125,0,15,23,0
6838220.0,2080172.375,780510.1875,4585468.5,4668672.0,525440.9375,0,23,15,0
6361842.0,1653355.375,976922.375,3899486.75,5163469.5,1089443.5,0,22,15,0
8201523.5,1953526.375,706270.8125,4512185.0,5420839.5,743053.5,0,15,22,0
8719562.0,1919969.75,677839.4375,3781769.25,4197054.5,721230.75,0,21,20,0
7394696.5,1852705.125,1191819.125,8120215.5,7729574.0,1790942.125,0,21,14,0
7734464.5,2380865.25,886831.9375,5893220.5,7891067.0,1728682.75,0,21,14,0
9022251.0,2220160.25,1041706.5625,6940993.5,5954367.5,1206596.0,0,21,14,0
8668172.0,2506677.25,992382.5,6712252.5,6153832.5,1088434.75,0,21,20,0
8189976.0,3545691.0,1827298.625,6842328.0,8314003.5,2569479.75,0,22,15,0
9813012.0,3692223.0,2080217.375,10535646.0,8805184.0,2442128.25,0,22,15,0
7177310.0,1953241.25,909245.5,6319568.5,6838087.0,1730841.875,0,21,14,0
8801420.0,3084772.0,1185183.875,7580644.5,10955389.0,2339920.25,0,22,15,0
9011144.0,3068792.0,1203372.375,8988154.0,8804137.0,1932657.875,0,21,14,0
7673521.0,2906403.5,840740.9375,6726132.0,6247883.0,1072792.25,0,21,14,0
6630517.5,2148630.5,1077037.0,7173503.0,7501991.5,1321547.25,0,21,14,0
7869190.0,3593283.5,1075252.0,5896394.0,9098453.0,2263075.75,0,15,29,0
5302618.5,1351458.5,670403.375,4890513.5,7241330.0,1416504.25,0,15,22,0
5731946.5,1446041.375,606514.0,3790073.25,6154558.0,1543709.375,0,23,15,0
