Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
57,83420.023438, 131803.593750, 213346.656250, 295515.343750, 410704.312500, 591408.312500
58,65520.000000, 103521.625000, 167567.406250, 232104.546875, 322576.812500, 464505.562500
59,95960.007812, 151616.734375, 245417.687500, 339938.437500, 472443.156250, 680310.750000
60,40699.988281, 64306.003906, 104090.250000, 144179.750000, 200379.671875, 288544.000000
61,86640.000000, 136891.250000, 221581.812500, 306922.187500, 426557.687500, 614236.875000
62,157900.046875, 249482.000000, 403829.250000, 559360.750000, 777394.187500, 1119436.125000
63,34920.000000, 55173.601562, 89307.906250, 123704.101562, 171922.796875, 247566.171875
64,94740.000000, 149689.265625, 242297.562500, 335616.343750, 466436.687500, 671661.500000
65,72860.023438, 115118.796875, 186339.437500, 258106.546875, 358714.156250, 516542.687500
66,1900.000000, 3002.000000, 4859.250000, 6730.750000, 9354.332031, 13470.091797
67,104440.000000, 165015.265625, 267105.312500, 369978.562500, 514192.781250, 740429.937500
68,11119.998047, 17569.591797, 28439.398438, 39392.601562, 54747.468750, 78835.640625
69,29460.000000, 46546.816406, 75343.953125, 104362.015625, 145041.390625, 208857.265625
70,8560.000977, 13524.797852, 21892.199219, 30323.804688, 42143.781250, 60686.339844
71,76440.000000, 120775.203125, 195495.312500, 270788.562500, 376339.593750, 541923.250000
72,124340.000000, 196457.265625, 317999.562500, 440474.312500, 612166.312500, 881511.437500
73,104520.000000, 165141.625000, 267309.906250, 370262.000000, 514586.875000, 740997.125000
74,56800.000000, 89744.000000, 145266.000000, 201214.000000, 279645.375000, 402685.000000
75,179760.000000, 284020.750000, 459736.187500, 636799.812500, 885018.062500, 1274412.750000
76,13280.000000, 20982.408203, 33963.601562, 47044.382812, 65381.847656, 94148.867188
77,106180.000000, 167764.375000, 271555.343750, 376142.781250, 522759.437500, 752765.750000
78,28520.000000, 45061.601562, 72939.898438, 101032.117188, 140413.421875, 202193.359375
79,123220.000000, 194687.593750, 315135.156250, 436506.843750, 606653.187500, 873570.812500
80,113300.000000, 179014.000000, 289764.750000, 401365.250000, 557813.750000, 803243.125000
81,92220.000000, 145707.625000, 235852.656250, 326689.343750, 454029.968750, 653795.812500
82,74120.023438, 117109.609375, 189561.906250, 262570.093750, 364917.375000, 525475.625000
83,106780.000000, 168712.375000, 273089.843750, 378268.281250, 525713.437500, 757019.437500
84,46500.000000, 73470.000000, 118923.750000, 164726.250000, 228935.000000, 329662.875000
85,104400.000000, 164952.000000, 267003.000000, 369837.000000, 513996.000000, 740146.312500
86,86100.000000, 136038.000000, 220200.750000, 305009.250000, 423899.000000, 610408.000000
87,5580.000000, 8816.399414, 14270.849609, 19767.150391, 27472.189453, 39559.523438
88,19299.992188, 30494.001953, 49359.750000, 68370.250000, 95020.359375, 136827.812500
89,64220.000000, 101467.625000, 164242.656250, 227499.296875, 316176.468750, 455289.187500
90,85160.023438, 134552.765625, 217796.687500, 301679.312500, 419271.093750, 603744.062500
91,153960.000000, 243256.781250, 393752.687500, 545403.500000, 757996.375000, 1091503.625000
92,16820.001953, 26575.595703, 43017.148438, 59584.859375, 82810.562500, 119245.781250
93,110000.000000, 173800.000000, 281325.000000, 389675.000000, 541566.625000, 779847.000000
94,152800.062500, 241424.000000, 390786.000000, 541294.000000, 752285.125000, 1083278.000000
95,82320.000000, 130065.601562, 210533.406250, 291618.593750, 405288.843750, 583609.625000
96,49960.003906, 78936.820312, 127772.703125, 176983.281250, 245969.765625, 354192.156250
97,61220.000000, 96727.625000, 156570.156250, 216871.781250, 301406.437500, 434020.531250
98,51259.996094, 80990.820312, 131097.453125, 181588.515625, 252370.046875, 363409.375000
99,40540.011719, 64053.199219, 103681.046875, 143612.953125, 199592.031250, 287409.343750
100,72020.023438, 113791.609375, 184191.156250, 255130.828125, 354578.437500, 510587.406250
101,153460.062500, 242466.781250, 392473.937500, 543632.312500, 755535.187500, 1087958.250000
102,124200.000000, 196236.000000, 317641.500000, 439978.500000, 611478.000000, 880518.375000
103,43480.007812, 68698.367188, 111200.093750, 154027.906250, 214066.546875, 308252.593750
104,115280.000000, 182142.406250, 294828.593750, 408379.468750, 567561.562500, 817280.312500
105,53660.000000, 84782.812500, 137235.453125, 190090.484375, 264186.156250, 380423.843750
106,27860.000000, 44018.816406, 71251.953125, 98694.015625, 137163.937500, 197514.109375
107,25700.001953, 40606.000000, 65727.750000, 91042.250000, 126529.632812, 182200.765625
108,20540.005859, 32453.199219, 52531.046875, 72762.960938, 101125.273438, 145618.890625
109,125020.000000, 197531.593750, 319738.625000, 442883.343750, 615515.187500, 886332.250000
